code,areaName,cx,cy,country,region,Constituency,LA,MSOA,TTWA2011,popDensity
E07000076,Tendring,614571,223776,E92000001,E12000006,E14000642,,,,440.9
E07000079,Cotswold,407474,213072,E92000001,E12000009,E14000991,,,,78
E07000080,Forest of Dean,366318,214546,E92000001,E12000009,E14000705,,,,165.4
E07000082,Stroud,379361,203473,E92000001,E12000009,E14000980,,,,263
E07000084,Basingstoke and Deane,455819,153006,E92000001,E12000008,E14000545,,,,292.1
E07000085,East Hampshire,473316,131076,E92000001,E12000008,E14000811,,,,244.4
E07000086,Eastleigh,447331,115065,E92000001,E12000008,E14000685,,,,1712.1
E07000087,Fareham,454571,106165,E92000001,E12000008,E14000699,,,,1542.1
E07000088,Gosport,459361,100995,E92000001,E12000008,E14000713,,,,3229.8
E07000089,Hart,476958,154529,E92000001,E12000008,E14000844,,,,461.8
E07000091,New Forest,426464,106633,E92000001,E12000008,E14000828,,,,233.7
E07000092,Rushmoor,486069,153516,E92000001,E12000008,E14000530,,,,2554.9
E07000093,Test Valley,434314,136669,E92000001,E12000008,E14000857,,,,207.9
E07000094,Winchester,454712,125708,E92000001,E12000008,E14001041,,,,192.8
E07000095,Broxbourne,534904,204646,E92000001,E12000006,E14000606,,,,1924.9
E07000096,Dacorum,500758,209858,E92000001,E12000006,E14000739,,,,729.8
E07000098,Hertsmere,518976,199022,E92000001,E12000006,E14000745,,,,1065.9
E07000099,North Hertfordshire,524291,230523,E92000001,E12000006,E14000749,,,,354.9
E07000102,Three Rivers,506561,196949,E92000001,E12000006,E14000951,,,,1055.8
E07000106,Canterbury,616375,158359,E92000001,E12000008,E14000619,,,,509.9
E07000107,Dartford,556785,172676,E92000001,E12000008,E14000659,,,,1605.3
E07000108,Dover,629815,151044,E92000001,E12000008,E14000670,,,,369.2
E07000109,Gravesham,566746,170115,E92000001,E12000008,E14000715,,,,1079.9
E07000110,Maidstone,580248,151563,E92000001,E12000008,E14000804,,,,446.9
E07000111,Sevenoaks,551567,155211,E92000001,E12000008,E14000659,,,,326.4
E07000113,Swale,595988,164044,E92000001,E12000008,E14000700,,,,406.2
E07000114,Thanet,632674,166985,E92000001,E12000008,E14000852,,,,1356.9
E07000115,Tonbridge and Malling,564511,155282,E92000001,E12000008,E14000626,,,,550.6
E07000116,Tunbridge Wells,570254,137789,E92000001,E12000008,E14000804,,,,348
E07000117,Burnley,385506,431414,E92000001,E12000002,E14000609,,,,855
E07000118,Chorley,357265,418497,E92000001,E12000002,E14000637,,,,580.6
E07000121,Lancaster,353328,463919,E92000001,E12000002,E14000776,,,,252.1
E07000122,Pendle,387886,441045,E92000001,E12000002,E14000875,,,,565.4
E07000123,Preston,354185,435253,E92000001,E12000002,E14000706,,,,1039
E07000125,Rossendale,382473,421988,E92000001,E12000002,E14000902,,,,513.4
E07000126,South Ribble,353203,425975,E92000001,E12000002,E14000894,,,,981.4
E07000127,West Lancashire,341717,412911,E92000001,E12000002,E14001033,,,,338.8
E07000128,Wyre,344008,445536,E92000001,E12000002,E14000572,,,,396.7
E07000129,Blaby,452852,297375,E92000001,E12000004,E14000940,,,,788.9
E07000130,Charnwood,457739,315833,E92000001,E12000004,E14000625,,,,659.2
E07000131,Harborough,467383,293977,E92000001,E12000004,E14000940,,,,165
E07000132,Hinckley and Bosworth,441354,302271,E92000001,E12000004,E14000583,,,,382.2
E07000133,Melton,477226,322729,E92000001,E12000004,E14000909,,,,107.5
E07000134,North West Leicestershire,440239,317453,E92000001,E12000004,E14000858,,,,374.8
E07000135,Oadby and Wigston,461524,299185,E92000001,E12000004,E14000728,,,,2454.9
E07000137,East Lindsey,535540,374440,E92000001,E12000004,E14000582,,,,80.5
E07000138,Lincoln,496573,370718,E92000001,E12000004,E14000792,,,,2908.9
E07000139,North Kesteven,504210,354897,E92000001,E12000004,E14000792,,,,128
E07000140,South Holland,532780,324067,E92000001,E12000004,E14000939,,,,126.8
E07000141,South Kesteven,499893,329594,E92000001,E12000004,E14000714,,,,152.1
E07000143,Breckland,592273,302678,E92000001,E12000006,E14000816,,,,108.4
E07000144,Broadland,623735,316663,E92000001,E12000006,E14000863,,,,238.6
E07000145,Great Yarmouth,647815,311075,E92000001,E12000006,E14000717,,,,572.2
E07000146,Kings Lynn and West Norfolk,566910,317216,E92000001,E12000006,E14000952,,,,107.2
E07000148,Norwich,622020,308886,E92000001,E12000006,E14000864,,,,3688.2
E07000149,South Norfolk,622377,295780,E92000001,E12000006,E14000816,,,,156.4
E07000163,Craven,388715,464893,E92000001,E12000003,E14000928,,,,48.4
E07000164,Hambleton,444420,488149,E92000001,E12000003,E14000895,,,,69.2
E07000165,Harrogate,426573,463534,E92000001,E12000003,E14000730,,,,124.4
E07000166,Richmondshire,404370,496225,E92000001,E12000003,E14000895,,,,37.7
E07000167,Ryedale,475009,480011,E92000001,E12000003,E14000993,,,,36.3
E07000169,Selby,457071,432688,E92000001,E12000003,E14000917,,,,153.5
E07000170,Ashfield,449768,355201,E92000001,E12000004,E14000535,,,,1152.8
E07000171,Bassetlaw,469431,382275,E92000001,E12000004,E14000546,,,,184.7
E07000172,Broxtowe,449657,342283,E92000001,E12000004,E14000535,,,,1385
E07000173,Gedling,459166,348277,E92000001,E12000004,E14000710,,,,977.4
E07000175,Newark and Sherwood,472378,359080,E92000001,E12000004,E14000829,,,,188.8
E07000176,Rushcliffe,464834,334124,E92000001,E12000004,E14000908,,,,291
E07000177,Cherwell,449860,229130,E92000001,E12000008,E14000539,,,,273.5
E07000178,Oxford,452441,206500,E92000001,E12000008,E14000874,,,,3553
E07000179,South Oxfordshire,464397,193175,E92000001,E12000008,E14000742,,,,219.7
E07000180,Vale of White Horse,438787,192976,E92000001,E12000008,E14001015,,,,240.5
E07000181,West Oxfordshire,434067,215553,E92000001,E12000008,E14001046,,,,159.9
E07000187,Mendip,362056,144991,E92000001,E12000009,E14000932,,,,157
E07000188,Sedgemoor,333465,143276,E92000001,E12000009,E14001026,,,,222.2
E07000189,South Somerset,350246,121192,E92000001,E12000009,E14000932,,,,180
E07000192,Cannock Chase,401418,312745,E92000001,E12000005,E14000618,,,,1274.3
E07000193,East Staffordshire,412763,329519,E92000001,E12000005,E14000610,,,,320.5
E07000194,Lichfield,413297,310036,E92000001,E12000005,E14000791,,,,321.3
E07000195,Newcastle-under-Lyme,378749,344081,E92000001,E12000005,E14000834,,,,584.5
E07000196,South Staffordshire,388140,303026,E92000001,E12000005,E14000945,,,,271.2
E07000197,Stafford,388230,327866,E92000001,E12000005,E14000975,,,,228.8
E07000199,Tamworth,421984,303220,E92000001,E12000005,E14000986,,,,2549.6
E07000200,Babergh,599986,243163,E92000001,E12000006,E14000946,,,,155.5
E07000203,Mid Suffolk,611211,265459,E92000001,E12000006,E14000624,,,,117.9
E07000207,Elmbridge,512060,163238,E92000001,E12000008,E14000697,,,,1459.6
E07000208,Epsom and Ewell,521188,161461,E92000001,E12000008,E14000694,,,,2375.4
E07000209,Guildford,500446,150851,E92000001,E12000008,E14000719,,,,530.2
E07000210,Mole Valley,517049,147214,E92000001,E12000008,E14000694,,,,338.3
E07000211,Reigate and Banstead,526286,152009,E92000001,E12000008,E14000681,,,,1168.1
E07000212,Runnymede,501617,167042,E92000001,E12000008,E14000907,,,,1128.6
E07000213,Spelthorne,506652,170605,E92000001,E12000008,E14000959,,,,2293.9
E07000215,Tandridge,536712,149345,E92000001,E12000008,E14000681,,,,354.1
E07000216,Waverley,495682,139877,E92000001,E12000008,E14000719,,,,371.5
E07000217,Woking,500423,158249,E92000001,E12000008,E14001047,,,,1634.4
E07000218,North Warwickshire,425346,294421,E92000001,E12000005,E14000854,,,,228.8
E07000219,Nuneaton and Bedworth,435701,289373,E92000001,E12000005,E14000854,,,,1699.7
E07000220,Rugby,445826,276476,E92000001,E12000005,E14000767,,,,325.7
E07000221,Stratford-on-Avon,425910,253437,E92000001,E12000005,E14000977,,,,137.8
E07000222,Warwick,428512,268090,E92000001,E12000005,E14000767,,,,524.8
E07000223,Adur,519857,106296,E92000001,E12000008,E14000682,,,,1534.4
E07000224,Arun,500922,105536,E92000001,E12000008,E14000576,,,,746.1
E07000225,Chichester,488437,116059,E92000001,E12000008,E14000534,,,,157.8
E07000226,Crawley,527313,137822,E92000001,E12000008,E14000652,,,,2634.9
E07000227,Horsham,514696,122819,E92000001,E12000008,E14000534,,,,276.8
E07000228,Mid Sussex,531427,126224,E92000001,E12000008,E14000534,,,,456.8
E07000229,Worthing,513043,104470,E92000001,E12000008,E14001055,,,,3423.7
E07000234,Bromsgrove,398961,273791,E92000001,E12000005,E14000605,,,,457.1
E07000235,Malvern Hills,376452,253907,E92000001,E12000005,E14001035,,,,137.7
E07000236,Redditch,403427,264902,E92000001,E12000005,E14000892,,,,1604.4
E07000237,Worcester,385680,255359,E92000001,E12000005,E14001052,,,,3121.4
E07000238,Wychavon,396608,251844,E92000001,E12000005,E14000818,,,,199.7
E07000239,Wyre Forest,381336,275771,E92000001,E12000005,E14001058,,,,520
E07000240,St Albans,514441,209482,E92000001,E12000006,E14000749,,,,919.3
E07000241,Welwyn Hatfield,524698,209206,E92000001,E12000006,E14000606,,,,925
E07000242,East Hertfordshire,537205,220364,E92000001,E12000006,E14000744,,,,315.7
E07000243,Stevenage,524559,224521,E92000001,E12000006,E14000845,,,,3444.8
E07000244,East Suffolk,636456,265500,E92000001,E12000006,E14000624,,,,195.1
E07000245,West Suffolk,578957,267629,E92000001,E12000006,E14000613,,,,173.9
E07000246,Somerset West and Taunton,304672,132836,E92000001,E12000009,E14000988,,,,132.6
E08000002,Bury,379434,410155,E92000001,E12000002,E14000611,,,,1948.6
E08000003,Manchester,384645,394923,E92000001,E12000002,E14000571,,,,4772.7
E08000004,Oldham,396668,406152,E92000001,E12000002,E14000871,,,,1700.5
E08000005,Rochdale,389646,413331,E92000001,E12000002,E14000747,,,,1415.6
E08000006,Salford,375503,399266,E92000001,E12000002,E14000571,,,,2777.2
E08000007,Stockport,391577,388561,E92000001,E12000002,E14000627,,,,2338.3
E08000008,Tameside,395938,397900,E92000001,E12000002,E14000537,,,,2239.7
E08000009,Trafford,376532,391465,E92000001,E12000002,E14000532,,,,2216.7
E08000010,Wigan,361033,403243,E92000001,E12000002,E14000580,,,,1750
E08000011,Knowsley,344694,392430,E92000001,E12000002,E14000775,,,,1787
E08000012,Liverpool,339133,389144,E92000001,E12000002,E14000708,,,,4346.1
E08000013,St. Helens,352124,396102,E92000001,E12000002,E14000962,,,,1343.6
E08000014,Sefton,332846,408176,E92000001,E12000002,E14000581,,,,1783.4
E08000015,Wirral,327405,386273,E92000001,E12000002,E14000559,,,,1989.7
E08000016,Barnsley,431083,404470,E92000001,E12000003,E14000541,,,,743.3
E08000017,Doncaster,460041,405684,E92000001,E12000003,E14000667,,,,542.4
E08000018,Rotherham,447556,390471,E92000001,E12000003,E14000903,,,,927.7
E08000021,Newcastle upon Tyne,421988,568195,E92000001,E12000001,E14000831,,,,2646.1
E08000022,North Tyneside,430940,570503,E92000001,E12000001,E14000853,,,,2538.6
E08000023,South Tyneside,435717,563346,E92000001,E12000001,E14000765,,,,2294.2
E08000024,Sunderland,435242,554109,E92000001,E12000001,E14001020,,,,1994.6
E08000025,Birmingham,408620,287849,E92000001,E12000005,E14000565,,,,4275.4
E08000026,Coventry,432736,280037,E92000001,E12000005,E14000649,,,,3500.7
E08000027,Dudley,392753,287253,E92000001,E12000005,E14000671,,,,3302.4
E08000028,Sandwell,399516,290879,E92000001,E12000005,E14000722,,,,3994.9
E08000029,Solihull,418611,279457,E92000001,E12000005,E14000812,,,,1212.9
E08000030,Walsall,402370,300150,E92000001,E12000005,E14000531,,,,2733.1
E08000031,Wolverhampton,391927,299026,E92000001,E12000005,E14001049,,,,3797.9
E08000032,Bradford,409656,438737,E92000001,E12000003,E14000925,,,,1491.2
E08000033,Calderdale,401827,424977,E92000001,E12000003,E14000614,,,,567.8
E08000034,Kirklees,415745,414567,E92000001,E12000003,E14000548,,,,1060.3
E08000035,Leeds,432624,436701,E92000001,E12000003,E14000777,,,,1471.7
E08000036,Wakefield,438985,418409,E92000001,E12000003,E14000836,,,,1043.6
E08000037,Gateshead,420364,560133,E92000001,E12000001,E14000574,,,,1378
E09000001,City of London,532539,181164,E92000001,E12000007,E14000639,,,,2975
E09000002,Barking and Dagenham,548056,184924,E92000001,E12000007,E14000540,,,,6065.8
E09000003,Barnet,524095,192314,E92000001,E12000007,E14000703,,,,4488.7
E09000004,Bexley,548955,175730,E92000001,E12000007,E14000558,,,,4070.7
E09000005,Brent,520189,185924,E92000001,E12000007,E14000592,,,,7859.6
E09000006,Bromley,542864,165667,E92000001,E12000007,E14000551,,,,2197.7
E09000007,Camden,527931,184580,E92000001,E12000007,E14000727,,,,9640.9
E09000008,Croydon,533300,163557,E92000001,E12000007,E14000656,,,,4516
