code,areaName,cx,cy,country,region,Constituency,LA,MSOA,TTWA2011,home,metro,train,bus,taxi,motorcycle,carDriver,carPassenger,bicycle,foot,other,noWork
E07000217,Woking,500423,158249,E92000001,E12000008,E14001047,,,,23570,108,1951,615,261,247,19735,1563,902,3275,517,51201
E07000218,North Warwickshire,425346,294421,E92000001,E12000005,E14000854,,,,8411,9,189,397,117,116,18812,1430,280,1748,246,33281
E07000219,Nuneaton and Bedworth,435701,289373,E92000001,E12000005,E14000854,,,,14461,20,372,1472,350,253,36655,3592,1096,4352,491,71083
E07000220,Rugby,445826,276476,E92000001,E12000005,E14000767,,,,17792,37,441,1109,266,189,29803,2994,1111,3913,454,56257
E07000221,Stratford-on-Avon,425910,253437,E92000001,E12000005,E14000977,,,,26151,34,251,371,98,200,31378,1932,809,4521,491,68489
E07000222,Warwick,428512,268090,E92000001,E12000005,E14000767,,,,32535,47,635,896,193,183,28640,2140,1402,5567,510,75705
E07000223,Adur,519857,106296,E92000001,E12000008,E14000682,,,,9266,15,839,925,70,234,14254,1079,892,1938,313,34719
E07000224,Arun,500922,105536,E92000001,E12000008,E14000576,,,,18060,52,1270,1264,216,380,39949,3823,2014,5342,820,91698
E07000225,Chichester,488437,116059,E92000001,E12000008,E14000534,,,,19385,48,721,656,82,229,26020,1765,1549,5282,629,67702
E07000226,Crawley,527313,137822,E92000001,E12000008,E14000652,,,,15903,95,1756,4753,362,268,27783,2546,1070,3643,724,59592
E07000227,Horsham,514696,122819,E92000001,E12000008,E14000534,,,,29417,54,1235,624,100,261,32645,2053,702,4474,604,74611
E07000228,Mid Sussex,531427,126224,E92000001,E12000008,E14000534,,,,31314,70,2549,623,188,281,32221,2164,627,5959,576,75994
E07000229,Worthing,513043,104470,E92000001,E12000008,E14001055,,,,16767,40,1426,1053,217,306,23647,2019,1763,5821,499,57781
E07000234,Bromsgrove,398961,273791,E92000001,E12000005,E14000605,,,,16436,23,647,370,180,119,25194,1505,287,2178,348,51896
E07000235,Malvern Hills,376452,253907,E92000001,E12000005,E14001035,,,,12483,15,276,171,38,149,18650,1103,426,2184,307,43686
E07000236,Redditch,403427,264902,E92000001,E12000005,E14000892,,,,9872,17,248,1333,478,134,24498,2477,594,2673,370,44342
E07000237,Worcester,385680,255359,E92000001,E12000005,E14001052,,,,13607,26,582,1064,290,217,25742,2510,1335,5833,425,52243
E07000238,Wychavon,396608,251844,E92000001,E12000005,E14000818,,,,19207,29,372,510,118,214,35289,2445,863,4080,534,68832
E07000239,Wyre Forest,381336,275771,E92000001,E12000005,E14001058,,,,10559,17,464,364,318,199,27431,2307,546,3254,331,55818
E07000240,St Albans,514441,209482,E92000001,E12000006,E14000749,,,,38594,243,2464,732,221,189,23272,1478,764,4371,543,75296
E07000241,Welwyn Hatfield,524698,209206,E92000001,E12000006,E14000606,,,,21001,399,2056,1238,615,230,24092,2071,1259,4651,538,61684
E07000242,East Hertfordshire,537205,220364,E92000001,E12000006,E14000744,,,,31278,322,3033,1012,232,211,32231,1821,600,5088,696,73634
E07000243,Stevenage,524559,224521,E92000001,E12000006,E14000845,,,,12876,105,1421,1219,365,199,22141,2220,894,3594,426,44035
E07000244,East Suffolk,636456,265500,E92000001,E12000006,E14000624,,,,27774,70,512,1237,332,633,58764,3653,3663,8273,1454,139694
E07000245,West Suffolk,578957,267629,E92000001,E12000006,E14000613,,,,21104,67,353,1056,309,404,51600,3729,2073,8080,848,90329
E07000246,Somerset West and Taunton,304672,132836,E92000001,E12000009,E14000988,,,,19392,25,229,1019,181,456,37421,2809,2563,8483,715,84151
E08000002,Bury,379434,410155,E92000001,E12000002,E14000611,,,,26579,2163,250,2864,1156,236,43946,3575,928,5907,879,105369
E08000003,Manchester,384645,394923,E92000001,E12000002,E14000571,,,,73964,6152,2848,23669,3654,462,82379,8217,7305,22647,2986,317655
E08000004,Oldham,396668,406152,E92000001,E12000002,E14000871,,,,20903,2478,466,4566,1876,252,51845,5769,753,7975,1324,143882
E08000005,Rochdale,389646,413331,E92000001,E12000002,E14000747,,,,20151,829,804,4612,1936,305,51996,5249,809,6731,1038,129314
E08000006,Salford,375503,399266,E92000001,E12000002,E14000571,,,,39039,2028,1277,8417,1839,383,52459,5037,2750,13107,1269,142317
E08000007,Stockport,391577,388561,E92000001,E12000002,E14000627,,,,50157,289,2142,5417,745,366,64214,4588,2303,8377,1210,154967
E08000008,Tameside,395938,397900,E92000001,E12000002,E14000537,,,,25970,895,1326,5818,1013,336,55422,4889,1199,7739,1047,125417
E08000009,Trafford,376532,391465,E92000001,E12000002,E14000532,,,,45450,2476,520,3068,771,230,46255,3126,2499,6204,959,123494
E08000010,Wigan,361033,403243,E92000001,E12000002,E14000580,,,,34432,61,1227,5514,1172,597,89571,8167,1850,10678,1345,174716
E08000011,Knowsley,344694,392430,E92000001,E12000002,E14000775,,,,14880,51,1758,4655,1340,168,35442,4322,1188,4880,811,85027
E08000012,Liverpool,339133,389144,E92000001,E12000002,E14000708,,,,53721,538,5138,22387,3607,592,81901,10160,4862,20234,2609,280338
E08000013,St. Helens,352124,396102,E92000001,E12000002,E14000962,,,,18973,29,951,2931,914,289,47168,4802,966,4823,776,100625
E08000014,Sefton,332846,408176,E92000001,E12000002,E14000581,,,,34750,176,3911,4966,1702,419,59614,6145,2626,8920,1367,154635
E08000015,Wirral,327405,386273,E92000001,E12000002,E14000559,,,,37299,332,3643,6123,1290,598,71581,6033,1874,9101,1626,180696
E08000016,Barnsley,431083,404470,E92000001,E12000003,E14000541,,,,22340,37,904,4733,699,432,66305,6962,738,7575,956,132892
E08000017,Doncaster,460041,405684,E92000001,E12000003,E14000667,,,,25503,61,1171,6288,1563,433,79823,9293,2475,9796,1452,170248
E08000018,Rotherham,447556,390471,E92000001,E12000003,E14000903,,,,24750,196,481,4959,1084,402,70478,6792,893,6618,1148,148004
E08000021,Newcastle upon Tyne,421988,568195,E92000001,E12000001,E14000831,,,,37529,2337,794,11887,1634,235,48488,5485,2883,12324,1481,175047
E08000022,North Tyneside,430940,570503,E92000001,E12000001,E14000853,,,,30738,3041,681,4343,791,294,43934,4121,1885,6177,1260,111702
E08000023,South Tyneside,435717,563346,E92000001,E12000001,E14000765,,,,14779,2230,585,3360,299,212,31575,2883,1123,4273,1189,85268
E08000024,Sunderland,435242,554109,E92000001,E12000001,E14001020,,,,27418,1066,520,7848,888,305,60684,6697,1499,8803,1423,157021
E08000025,Birmingham,408620,287849,E92000001,E12000005,E14000565,,,,114058,977,9220,43123,6673,1118,202963,21557,5741,31483,5505,702501
E08000026,Coventry,432736,280037,E92000001,E12000005,E14000649,,,,38674,151,1457,10947,2261,475,70234,9844,2817,11501,1782,195181
E08000027,Dudley,392753,287253,E92000001,E12000005,E14000671,,,,31434,126,1889,6125,1474,563,85285,7105,1263,8127,1249,178848
E08000028,Sandwell,399516,290879,E92000001,E12000005,E14000722,,,,26347,1401,2593,11938,2306,523,74590,8791,1704,9223,1656,200760
E08000029,Solihull,418611,279457,E92000001,E12000005,E14000812,,,,35366,69,1563,3673,618,243,47002,3509,1000,4128,768,118301
E08000030,Walsall,402370,300150,E92000001,E12000005,E14000531,,,,22044,270,1101,7237,1532,414,68776,6944,1415,7690,1111,165591
E08000031,Wolverhampton,391927,299026,E92000001,E12000005,E14001049,,,,21002,1157,1672,6938,2102,342,60083,7188,1718,7890,1218,152418
E08000032,Bradford,409656,438737,E92000001,E12000003,E14000925,,,,55396,131,4160,10377,5915,527,109677,12631,1525,18230,2568,325274
E08000033,Calderdale,401827,424977,E92000001,E12000003,E14000614,,,,27280,49,1158,3740,1110,286,46448,4332,665,7430,887,113250
E08000034,Kirklees,415745,414567,E92000001,E12000003,E14000548,,,,49908,101,2095,6960,3403,604,101008,9250,1378,13453,1923,243131
E08000035,Leeds,432624,436701,E92000001,E12000003,E14000777,,,,126585,249,3950,27152,5362,913,156227,15050,5190,29819,3567,437891
E08000036,Wakefield,438985,418409,E92000001,E12000003,E14000836,,,,36965,58,1555,6240,2150,632,92253,9602,1834,11976,1377,188729
E08000037,Gateshead,420364,560133,E92000001,E12000001,E14000574,,,,23427,1528,391,7201,774,233,40957,4249,1092,6677,990,108632
E09000001,City of London,532539,181164,E92000001,E12000007,E14000639,,,,3602,349,95,132,21,13,124,13,191,758,54,3232
E09000002,Barking and Dagenham,548056,184924,E92000001,E12000007,E14000540,,,,19572,15301,8660,9690,542,599,30732,2392,1218,4464,1416,124280
E09000003,Barnet,524095,192314,E92000001,E12000007,E14000703,,,,79628,20758,4690,15090,872,1197,46797,3169,2162,9361,2451,203170
E09000004,Bexley,548955,175730,E92000001,E12000007,E14000558,,,,40692,2838,12164,7763,688,767,42503,2919,995,5258,1396,128489
E09000005,Brent,520189,185924,E92000001,E12000007,E14000592,,,,48987,24200,8267,21439,886,1801,34917,3220,4074,11000,2206,178819
E09000006,Bromley,542864,165667,E92000001,E12000007,E14000551,,,,75511,3146,15214,8069,593,966,45304,2852,1784,7029,1654,167869
E09000007,Camden,527931,184580,E92000001,E12000007,E14000727,,,,58110,10351,2852,6532,733,546,7074,510,3993,10620,1190,107625
E09000008,Croydon,533300,163557,E92000001,E12000007,E14000656,,,,70976,8146,17229,19903,884,1454,52381,3507,2422,10018,2489,201312
E09000009,Ealing,515931,181701,E92000001,E12000007,E14000674,,,,63137,20319,5788,18840,761,1531,42941,3082,5026,11236,2365,192088
E09000010,Enfield,532411,196432,E92000001,E12000007,E14000691,,,,44977,12557,7138,15289,819,788,46721,3146,2040,8213,2177,186120
E09000011,Greenwich,542847,177046,E92000001,E12000007,E14000690,,,,57959,13632,12376,15318,635,882,28623,2160,2688,7001,1660,146134
E09000013,Hammersmith and Fulham,523529,178905,E92000001,E12000007,E14000629,,,,51319,11578,2376,7504,595,994,7781,514,4915,9439,1078,85064
E09000014,Haringey,531225,189614,E92000001,E12000007,E14000752,,,,55767,21629,5273,15341,626,1107,18436,1457,5226,7920,1599,129857
E09000015,Harrow,514912,190121,E92000001,E12000007,E14000731,,,,45175,15605,4721,8673,516,590,37918,3223,915,6146,1555,136166
E09000016,Havering,554032,187245,E92000001,E12000007,E14000657,,,,41654,8363,8721,6949,739,609,45890,3357,848,6101,1550,137271
E09000017,Hillingdon,507905,183585,E92000001,E12000007,E14000737,,,,45193,9362,3714,13357,670,772,55421,3711,1627,7226,1752,163104
E09000018,Hounslow,513589,175668,E92000001,E12000007,E14000593,,,,45047,10046,5086,18538,635,1199,40771,3043,4056,8614,1767,149381
E09000019,Islington,531145,185005,E92000001,E12000007,E14000763,,,,64530,11099,3063,9346,689,620,7871,552,6133,9922,1146,101619
E09000020,Kensington and Chelsea,525606,179504,E92000001,E12000007,E14000768,,,,40010,6659,1164,4057,1003,568,5331,487,2377,6820,962,73935
E09000021,Kingston upon Thames,519327,166705,E92000001,E12000007,E14000770,,,,39251,1457,4946,5519,228,705,21101,1396,2379,6364,802,83915
E09000022,Lambeth,530807,174499,E92000001,E12000007,E14000673,,,,91770,18743,8531,21125,809,1464,16994,1013,9711,10713,1945,134835
E09000023,Lewisham,537676,174051,E92000001,E12000007,E14000787,,,,69977,10775,14407,17148,628,1011,24709,1529,5569,8146,1813,144841
E09000024,Merton,525579,169458,E92000001,E12000007,E14001040,,,,48419,12159,5293,9251,385,1152,22618,1630,3237,6683,1238,103124
E09000025,Newham,541466,182855,E92000001,E12000007,E14000679,,,,47737,38371,14011,14821,802,1063,28349,2373,3757,9818,2344,187591
E09000026,Redbridge,543919,189405,E92000001,E12000007,E14000760,,,,49406,20627,8539,8172,850,638,40221,2978,1566,6768,1862,168633
E09000027,Richmond upon Thames,517367,172867,E92000001,E12000007,E14000896,,,,57322,2897,4319,3929,276,649,17106,962,3888,5386,832,97713
E09000028,Southwark,533829,176738,E92000001,E12000007,E14000615,,,,80842,14000,7054,23288,791,1132,14701,882,9537,12998,1723,140689
E09000029,Sutton,526964,164120,E92000001,E12000007,E14000621,,,,38024,3815,6442,6899,436,952,36070,2412,1561,6484,1129,105415
E09000030,Tower Hamlets,536495,181509,E92000001,E12000007,E14000882,,,,78219,21452,7111,9010,896,787,14106,985,7208,13900,1721,154914
E09000031,Waltham Forest,537726,190195,E92000001,E12000007,E14000634,,,,52765,25097,6810,10142,762,858,27532,1974,4975,7773,1684,138054
E09000032,Wandsworth,526055,174145,E92000001,E12000007,E14000549,,,,107639,16503,7948,13863,821,1747,17724,1041,9146,12338,1671,137064
E09000033,Westminster,527739,181005,E92000001,E12000007,E14000639,,,,56766,9768,2080,7075,993,569,6703,542,3600,12238,1409,102494
W06000001,Isle of Anglesey,241795,379205,W92000004,W92000004,W07000041,,,,6573,6,119,463,92,115,17915,1354,279,2005,281,39676
W06000002,Gwynedd,263903,334963,W92000004,W92000004,W07000057,,,,12259,24,198,1266,125,135,29336,2268,532,5292,385,65575
W06000003,Conwy,283987,361802,W92000004,W92000004,W07000058,,,,11381,28,291,1441,170,170,28296,1971,540,3895,543,66018
W06000004,Denbighshire,309404,355776,W92000004,W92000004,W07000059,,,,8600,13,236,989,189,159,24399,2032,504,3349,376,54971
W06000005,Flintshire,322419,369649,W92000004,W92000004,W07000043,,,,16269,27,258,1674,356,365,45411,3769,1126,3996,571,81142
W06000006,Wrexham,331795,344142,W92000004,W92000004,W07000044,,,,11277,14,223,1525,687,238,38061,4361,683,4242,496,73312
W06000008,Ceredigion,258574,263991,W92000004,W92000004,W07000064,,,,9524,21,65,394,91,102,15398,1000,269,3007,251,41356
W06000009,Pembrokeshire,201312,221152,W92000004,W92000004,W07000065,,,,12179,30,145,542,200,183,32274,2326,333,4001,553,70595
W06000010,Carmarthenshire,251227,224511,W92000004,W92000004,W07000045,,,,19243,39,361,879,304,241,50785,3790,463,5138,706,105946
W06000011,Swansea,257445,195641,W92000004,W92000004,W07000048,,,,25495,53,440,2859,812,334,56355,5259,1101,6984,919,137877
W06000012,Neath Port Talbot,279564,199348,W92000004,W92000004,W07000049,,,,12464,20,445,976,274,250,37320,3079,548,3294,517,83100
W06000013,Bridgend,289150,185340,W92000004,W92000004,W07000073,,,,14375,24,655,939,355,225,39608,3131,380,3776,516,81504
W06000014,Vale of Glamorgan,302809,172697,W92000004,W92000004,W07000078,,,,20395,38,1363,925,222,214,30055,2064,626,3510,506,72024
W06000015,Cardiff,316778,179542,W92000004,W92000004,W07000051,,,,57855,101,1962,7568,1018,453,64333,5581,4664,15381,1523,201869
W06000016,Rhondda Cynon Taf,300745,195665,W92000004,W92000004,W07000074,,,,22563,38,1906,2752,246,283,62494,6183,402,5742,781,134262
W06000018,Caerphilly,316753,195610,W92000004,W92000004,W07000077,,,,18473,17,1190,1680,360,288,46223,4229,394,4038,547,98513
W06000019,Blaenau Gwent,317699,208201,W92000004,W92000004,W07000072,,,,4036,8,137,437,142,113,19735,2129,118,1746,198,38105
W06000020,Torfaen,327301,200555,W92000004,W92000004,W07000053,,,,9051,14,189,896,359,182,25181,2129,199,2184,270,51621
W06000021,Monmouthshire,340238,206911,W92000004,W92000004,W07000054,,,,14708,30,238,202,99,141,22432,1349,333,2964,336,50127
W06000022,Newport,333448,186541,W92000004,W92000004,W07000055,,,,20385,22,716,2004,1093,250,37870,4040,969,4784,656,86803
W06000023,Powys,303993,270454,W92000004,W92000004,W07000063,,,,18698,20,147,297,87,154,33599,1961,536,5669,557,71443
E07000142,West Lindsey,501339,389522,E92000001,E12000004,E14000707,,,,10950,16,166,287,108,173,24887,1549,563,3063,374,53017
E07000147,North Norfolk,613546,332832,E92000001,E12000006,E14000603,,,,10106,36,289,367,106,268,23868,1398,808,3865,545,61321
E07000168,Scarborough,488815,497619,E92000001,E12000003,E14000913,,,,8837,23,266,1299,213,264,23934,2449,904,7736,624,62186
E07000174,Mansfield,455327,364075,E92000001,E12000004,E14000810,,,,8757,30,203,1827,607,236,31438,3841,594,3332,504,59115
E07000198,Staffordshire Moorlands,401331,353540,E92000001,E12000005,E14000966,,,,10949,13,97,410,131,151,27416,1995,315,3141,415,50810
E07000202,Ipswich,616698,244356,E92000001,E12000006,E14000624,,,,16664,34,559,2478,461,451,32133,3843,2141,7573,691,72616
E07000214,Surrey Heath,492648,161313,E92000001,E12000008,E14000983,,,,18509,35,681,521,92,190,20502,1308,484,2634,407,45090
E08000001,Bolton,369187,409211,E92000001,E12000002,E14000578,,,,29568,181,1618,4778,2583,425,67803,6830,1057,9226,1370,170525
E08000019,Sheffield,430011,389797,E92000001,E12000003,E14000922,,,,69654,2698,1747,17868,2850,615,109419,10550,3530,20612,2464,314514
E09000012,Hackney,534348,185478,E92000001,E12000007,E14000720,,,,66844,10239,4991,13995,962,672,11646,851,10011,12698,1401,124838
E07000075,Rochford,594750,191782,E92000001,E12000006,E14000899,,,,14659,60,1877,565,116,166,19583,1200,278,1752,405,45003
E07000077,Uttlesford,556816,228707,E92000001,E12000006,E14000910,,,,18011,125,991,294,89,127,21785,1131,319,2453,415,45598
E07000105,Ashford,596857,139969,E92000001,E12000008,E14000704,,,,19120,83,1575,1177,152,221,32389,2552,1186,4533,626,69132
W06000024,Merthyr Tydfil,306153,205467,W92000004,W92000004,W07000068,,,,4666,11,278,744,327,46,15547,2040,81,1682,215,33204
