code,areaName,cx,cy,country,region,Constituency,LA,MSOA,TTWA2011,home,metro,train,bus,taxi,motorcycle,carDriver,carPassenger,bicycle,foot,other,noWork
E07000008,Cambridge,545770,257755,E92000001,E12000006,E14000934,,,,32113,85,806,2515,423,373,13485,1530,11836,6858,572,75076
E07000009,East Cambridgeshire,556466,274112,E92000001,E12000006,E14000842,,,,15606,16,894,320,105,173,22735,1473,812,2211,350,43067
E07000010,Fenland,539807,298084,E92000001,E12000006,E14000842,,,,9463,26,294,528,129,218,28166,2708,1457,3654,467,55357
E07000012,South Cambridgeshire,542444,254795,E92000001,E12000006,E14000934,,,,36046,64,685,1604,172,430,33507,2057,3997,3131,573,79852
E07000026,Allerdale,319765,535836,E92000001,E12000002,E14000647,,,,10757,17,196,992,92,129,24859,2036,407,4328,422,51919
E07000027,Barrow-in-Furness,320831,470657,E92000001,E12000002,E14000543,,,,6051,5,250,937,387,366,15685,1755,1030,4403,313,36224
E07000028,Carlisle,348339,564335,E92000001,E12000002,E14000620,,,,10187,19,195,1791,200,146,29906,2449,1188,6347,521,57074
E07000029,Copeland,310947,502927,E92000001,E12000002,E14000647,,,,7778,14,316,861,120,202,16849,1573,374,2218,266,36506
E07000030,Eden,359952,524354,E92000001,E12000002,E14000877,,,,7682,13,69,405,44,48,14504,962,236,3062,308,27400
E07000031,South Lakeland,344716,488871,E92000001,E12000002,E14000543,,,,13692,18,291,462,173,179,25555,1772,963,6460,574,54313
E07000032,Amber Valley,435845,348157,E92000001,E12000004,E14000533,,,,15225,27,201,1458,153,313,35212,2430,543,4180,429,66035
E07000033,Bolsover,448358,368917,E92000001,E12000004,E14000577,,,,6884,17,135,865,195,193,24349,2161,250,2714,337,42173
E07000034,Chesterfield,440052,373318,E92000001,E12000004,E14000632,,,,10772,19,284,1962,614,204,26580,2439,455,3817,388,56037
E07000035,Derbyshire Dales,420549,359062,E92000001,E12000004,E14000664,,,,11376,16,112,316,53,93,16972,1040,302,2655,293,38312
E07000036,Erewash,443979,337734,E92000001,E12000004,E14000695,,,,13607,109,241,2157,216,315,30285,2390,1215,3950,482,57940
E07000037,High Peak,408491,386271,E92000001,E12000004,E14000748,,,,12973,31,756,612,181,123,23176,1536,376,4501,349,46319
E07000038,North East Derbyshire,436969,370027,E92000001,E12000004,E14000577,,,,11576,37,147,1183,196,201,28298,2008,297,2244,377,55438
E07000041,Exeter,293498,92447,E92000001,E12000009,E14000698,,,,18285,35,528,2838,208,472,22190,2176,2821,9603,543,71009
E07000042,Mid Devon,290588,109637,E92000001,E12000009,E14000623,,,,11963,10,139,579,64,194,21306,1558,476,3605,388,42570
E07000043,North Devon,265967,131782,E92000001,E12000009,E14000838,,,,10957,16,71,977,119,268,23589,1807,1098,5834,427,53448
E07000045,Teignbridge,282849,79821,E92000001,E12000009,E14000623,,,,17497,22,612,1059,121,432,33785,2228,779,5013,590,72666
E07000046,Torridge,241935,112003,E92000001,E12000009,E14001000,,,,7776,7,45,604,68,152,16989,1174,217,2746,273,38061
E07000047,West Devon,255465,86000,E92000001,E12000009,E14000623,,,,7973,11,56,284,38,126,13172,829,235,2353,307,31712
E07000061,Eastbourne,559822,99749,E92000001,E12000008,E14000684,,,,10125,53,1195,1506,418,229,21483,1989,1047,5285,501,57855
