code,areaName,cx,cy,country,region,Constituency,LA,MSOA,TTWA2011,d_N/A,d_2less,d_2_5,d_5_10,d_10_20,d_20_30,d_30_40,d_40_60,d_60plus,d_home,d_offshore
E07000008,Cambridge,545770,257755,E92000001,E12000006,E14000934,,,,75076,10723,12729,3283,2145,1157,542,1179,1298,32113,5429
E07000009,East Cambridgeshire,556466,274112,E92000001,E12000006,E14000842,,,,43067,3450,2123,4614,5692,4427,1356,571,690,15606,6166
E07000010,Fenland,539807,298084,E92000001,E12000006,E14000842,,,,55357,7230,4130,3695,6212,4581,1863,1050,960,9463,7921
E07000012,South Cambridgeshire,542444,254795,E92000001,E12000006,E14000934,,,,79852,4121,5984,9504,11469,2855,1181,1088,1343,36046,8676
E07000026,Allerdale,319765,535836,E92000001,E12000002,E14000647,,,,51919,5985,3411,3677,5773,4863,1675,1354,646,10757,6095
E07000027,Barrow-in-Furness,320831,470657,E92000001,E12000002,E14000543,,,,36224,8054,7550,3033,1341,382,655,202,442,6051,3475
E07000028,Carlisle,348339,564335,E92000001,E12000002,E14000620,,,,57074,10225,11049,5106,3934,1684,915,883,1208,10187,7759
E07000029,Copeland,310947,502927,E92000001,E12000002,E14000647,,,,36506,3291,3202,3735,6651,1049,359,839,526,7778,3141
E07000030,Eden,359952,524354,E92000001,E12000002,E14000877,,,,27400,3851,1402,2182,2921,1942,1192,713,576,7682,4875
E07000031,South Lakeland,344716,488871,E92000001,E12000002,E14000543,,,,54313,7928,3973,3835,6965,2847,1361,729,1012,13692,7795
E07000032,Amber Valley,435845,348157,E92000001,E12000004,E14000533,,,,66035,6638,6676,8061,10542,2649,636,479,770,15225,8494
E07000033,Bolsover,448358,368917,E92000001,E12000004,E14000577,,,,42173,4217,3700,6307,6866,2310,941,590,584,6884,5701
E07000034,Chesterfield,440052,373318,E92000001,E12000004,E14000632,,,,56037,6470,8903,5350,5687,1321,956,520,584,10772,6970
E07000035,Derbyshire Dales,420549,359062,E92000001,E12000004,E14000664,,,,38312,3375,2077,2675,4481,2451,949,516,412,11376,4915
E07000036,Erewash,443979,337734,E92000001,E12000004,E14000695,,,,57940,6615,6097,9316,8664,1397,502,372,608,13607,7789
E07000037,High Peak,408491,386271,E92000001,E12000004,E14000748,,,,46319,6841,3637,4112,6135,2607,963,580,492,12973,6274
E07000038,North East Derbyshire,436969,370027,E92000001,E12000004,E14000577,,,,55438,3502,4782,8036,7376,2182,765,622,611,11576,7111
E07000041,Exeter,293498,92447,E92000001,E12000009,E14000698,,,,71009,11839,12314,3274,2390,1503,448,773,1101,18285,7773
E07000042,Mid Devon,290588,109637,E92000001,E12000009,E14000623,,,,42570,5134,2006,3487,5767,3241,792,853,642,11963,6397
E07000043,North Devon,265967,131782,E92000001,E12000009,E14000838,,,,53448,8004,4983,4355,5833,1411,498,706,932,10957,7486
E07000045,Teignbridge,282849,79821,E92000001,E12000009,E14000623,,,,72666,6660,5689,7532,8666,3248,911,863,892,17497,10178
E07000046,Torridge,241935,112003,E92000001,E12000009,E14001000,,,,38061,3576,2405,2227,5108,1650,593,460,713,7776,5546
E07000047,West Devon,255465,86000,E92000001,E12000009,E14000623,,,,31712,2914,909,2238,2888,1471,1187,933,413,7973,4459
